nina,last_name,first_name,birth_date,sex,region_code,birth_region,cercle,commune,village,father_name,mother_name,language,has_error,error_type,error_field
20208255259480T,Daou,Sadio,2002-08-19,F,2,Koulikoro,Dioila,Massigui,Fadiabougou,Madou Yanogo,Dado Hamady,bm,False,,
13007122152582G,Ba,Iaya,1930-07-12,M,1,Kayes,Kayes,Sadiola,Kondiarafara,Mamoudou Kanté,Goundoba Dakouo,bm,True,phonetic_spelling,first_name
11112621128007T,Coumare,Alii,2011-12-19,M,6,Tombouctou,Tombouctou,Bourem-Inaly,Tindjambar,Zoumana Bocar,Hamsétou Doukoure,dje,True,phonetic_spelling,first_name
27407816032684P,Tounkara,Niénétou,1974-07-26,F,8,Kidal,Kidal,Anefif,Adjelhocan,Soriba Kaba,Djahara Sacko,tmq,False,,
29612440114225M,Dansoko,Mahawatou,1996-12-12,F,4,Ségou,Bla,Yangasso,Wolofobougou,Tiécoura Saidou,Kankoun Walet,bm,False,,
23302235112781X,Dieng,Khadoidja,1933-02-06,F,2,Koulikoro,Kati,Bossofala,Banzanbougou,Fodie Berthe,Soumeyatou Bocar,bm,True,typo_insertion,first_name
14509455267453U,Soumare,Gibril,1945-09-03,M,4,Ségou,San,Kava,Damansela,Yoro Tabouré,Founékou Dabo,bm,False,,
27911233213468T,Maimouna,Mallé,1979-11-07,F,2,Koulikoro,Dioila,Massigui,Fadiabougou,Brahima Boubou,Fatma Dolo,fr,True,field_inversion,"first_name,last_name"
17204705024434J,Sanou,Hamai,1972-04-20,M,7,Gao,Ansongo,Tessit,Ansongala,Ibrahim Boureima,Salimata Diallo,dje,True,typo_omission,first_name
26301529194385Q,Berthe,Khaduidja,1963-01-15,F,5,Mopti,Mopti,Konna,Tongorongo,Abdoulwahab Boureima,Kaira Dembaga,fr,True,typo_insertion,first_name
23805544279435J,Oumarou,Fanké,1938-05-02,F,5,Koulikoro,Kati,Sanankoroba,Sirakoroba,Diakaridia Dieng,Sounkali Sanou,ff,True,geographic_mismatch,birth_region
16303827009247Q,Dia,Moussa,1963-03-26,M,8,Kidal,Abeibara,Boghassa,Boghassaren,Daouda Camara,Niélékou Dembele,fr,False,,
20709515277223M,Kone,Naminata,2007-09-01,F,5,Mopti,Koro,Dioungani,Bankassou,Aboubacrine Tembely,Fatimata Soumountéra,bm,False,,
24103320074677X,Konfe,Diénéba,1941-03-03,F,3,Sikasso,Kadiolo,Loulouni,Sanfolola,Tidiane Saye,Habibatou Sanogo,ff,False,,
14202844219570W,Gassama,Omar,1942-02-08,M,8,Kidal,Kidal,Essouk,Tinzaoukar,Bakoroba Almoustapha,Soumeyatou Karembe,tmq,False,,
29608512276485B,Mbaye,Naba,1996-08-04,F,5,Mopti,Mopti,Konna,Tongorongo,Solo Drame,Kaïrou Kone,dje,False,,
13911516131209G,Yanogo,Abramani,1939-11-14,M,5,Mopti,Mopti,Konna,Tongorongo,Lassine Cheickna,Hadya Dabo,ff,True,typo_omission,first_name
10212238287223T,Soumbounou,Yorodian,2002-12-13,M,2,Koulikoro,Kati,Bossofala,Banzanbougou,Madani Dougnon,Kadiatou Thiam,fr,False,,
14707149246937M,Seck,Hamza,1947-07-26,M,1,Kayes,Kayes,Sadiola,Kondiarafara,Yousouf Dia,Sirantou Mbaye,bm,False,,
24712535184316M,Coumare,Niamako,1947-12-04,F,5,Mopti,Douentza,Hombori,Yalakoura,Inahaman Fane,Niénétou Fomba,dje,False,,
22003324161424V,Cisse,Soukeynatou,2020-03-29,F,3,Sikasso,Bougouni,Faragouaran,Bougoudji,Sambou Fadiga,Aissata Coumare,ff,False,,
29502410101338H,Fanké,Lo,1995-02-19,F,4,Ségou,Segou,Sebougou,Sonfara,Aly Seck,Korotou Souleymane,bm,True,field_inversion,"first_name,last_name"
20504511181174V,Diawara,Asma,2005-04-11,F,5,Mopti,Douentza,Hombori,Yalakoura,Issiaka Sylla,Awa Boureima,fr,False,,
15212804004423U,Diawara,Abdou,1952-12-03,M,8,Kidal,Abeibara,Boghassa,Boghassaren,Diakalia Diallo,Oumoulkher Gakou,fr,True,typo_omission,first_name
26607832009007E,Oumarou,Maïrama,1966-07-11,F,8,Kidal,Abeibara,Boghassa,Boghassaren,Tidiane Coulibaly,Aissata Ibrahima,tmq,False,,
20204133221826N,Yattara,Djelika,2002-04-07,F,1,Kayes,Bafoulabe,Diakon,Sambela,Cheickna Mahamadou,Tata Mbaye,snk,False,,
21301418204081T,Walet,Djahara,2013-01-02,F,4,Ségou,Baroueli,Tamani,Fienso-Were,Galo Mallé,Maïram Fall,bm,False,,
18801855017096W,Kanté,Hama,1988-01-15,M,8,Kidal,Tessalit,Timetrine,Aguelhokan,Amadou Abdramane,Wassakè Kone,fr,False,,
15904655223661P,Yanogo,Oumarou,1959-04-11,M,6,Tombouctou,Goundam,Tonka,Goundamasa,Cheickna Ibrahima,Nana Lo,tmq,False,,
20311303039701P,Kassogue,Sirantan,2003-11-06,F,3,Sikasso,Kolondieba,Fakola,Tengrebougou,Oumarou Camara,Hadiaratou Napo,fr,False,,
15710253204952C,Tangara,Solo,1957-10-29,M,2,Koulikoro,Kati,Bossofala,Banzanbougou,Mamarou Mallé,Bassiratou Diaby,bm,False,,
27211549072810T,Berrhe,Niékè,1972-11-15,F,5,Mopti,Mopti,Konna,Tongorongo,Mande Sanou,Bintou Fomba,dje,True,typo_substitution,last_name
28410532117365P,Abdramane,Niélétu,1984-10-02,F,5,Mopti,Koro,Dioungani,Bankassou,Pâté Barry,Khadidja Tabouré,dje,True,phonetic_spelling,first_name
11811118079390X,Haisara,Lassina,2018-11-24,M,1,Kayes,Diema,Lakamane,Mansakoro,Aliyou Karembe,Niamako Magassa,fr,True,typo_substitution,last_name
18104112221460Q,Yehiz,Mahmoud,1981-04-09,M,1,Kayes,Diema,Lakamane,Mansakoro,Inahaman Konfourou,Massitan Doumbia,fr,True,typo_substitution,last_name
29001525044743D,Sakaha,Maïram,1990-01-28,F,5,Mopti,Tenenkou,Diondiori,Diafarabe-Kola,Aboubacar Konfe,Saoudatou Almoustapha,ff,True,typo_substitution,last_name
10011518216307T,Mariko,Lassana,2000-11-21,M,5,Mopti,Djenne,Femaye,Sofarana,Fadima Cisseko,Oulématou Gassama,ff,False,,
19111401203341K,Almoustapha,Tenema,1991-11-24,M,4,Sikasso,Sikasso,Kaboila,Kefanazana,Sidi Sagara,Massira Dansoko,bm,True,geographic_mismatch,birth_region
24612412204992P,Doussou,Karembe,1946-12-02,F,4,Ségou,San,Kava,Damansela,Karamoko Sylla,Awakè Seck,bm,True,field_inversion,"first_name,last_name"
26403408289205G,Issoufou,Adama,1964-03-10,F,4,Ségou,Bla,Yangasso,Wolofobougou,Gibril Souleymane,Oumou Boubou,fr,False,,
26101805210690F,Fane,Naminata,1961-01-11,F,8,Kidal,Kidal,Anefif,Adjelhocan,Abdou Dougnon,Bassiratou Cisseko,fr,False,,
23903129246597N,Wélé,Djénétou,1939-03-01,F,1,Kayes,Nioro du Sahel,Diabigue,Ndiaganfoula,Almahdy Ly,Sirantan Toure,bm,False,,
17606250128674K,Theera,Kalifa,1976-06-18,M,2,Koulikoro,Koulikoro,Tienfala,Kolibantan,Abdramani Cisse,Soukeynatou Wélé,bm,False,,
23304201051265Q,Ndiaye,Maïmé,1933-04-24,F,2,Koulikoro,Koulikoro,Tienfala,Kolibantan,Manga Coulou,Hawakè Konandji,fr,False,,
21007550257155F,Sanou,Oumou,2010-07-08,F,5,Koulikoro,Banamba,Toubacoro,Wolontomo,Hammadi Kanoute,Sokhna Dicko,fr,True,geographic_mismatch,birth_region
20511422234804C,Dia,Hadjaratou,2005-11-02,F,4,Ségou,Niono,Sirifila Boundy,Kalabougou-Niare,Hammadi Dembaga,Wassakè Diabate,bm,False,,
26110405154046C,Soumare,Rokiatou,1961-10-08,F,4,Ségou,San,Kava,Damansela,Mounkoro Magassa,Khadidiatou Niare,fr,False,,
11007436219982R,Boubou,Diakaliia,2010-07-15,M,4,Ségou,Macina,Kolongo,Tioribabougou,Demba Barry,Awa Wane,bm,True,phonetic_spelling,first_name
26006501110211Q,Kassogue,Hamdétou,1960-06-03,F,5,Mopti,Mopti,Konna,Tongorongo,Bilal Maiga,Awakè Kanoute,ff,True,typo_substitution,first_name
23106725201602P,Soumare,Djoumé,1931-06-06,F,7,Gao,Menaka,Anderamboukane,Talataye-Kori,Sékoba Hamady,Halimatou Tall,tmq,False,,
24002738044689E,Danspko,Wassila,1940-02-11,F,7,Gao,Gao,Gounzoureye,Wabarianke,Nouhoum Mbaye,Diénébou Soumare,fr,True,typo_substitution,last_name
21605512250651W,Bakart,Habiba,2016-05-05,F,5,Mopti,Djenne,Femaye,Sofarana,Abdramani Tall,Hawakè Niare,dje,True,typo_substitution,last_name
23806132070200R,Maouloud,Niéléba,1938-06-18,F,1,Kayes,Kayes,Hawa Dembaya,Diakanfara,Almahdy Gassama,Kandé Sylla,ff,False,,
26108611043579X,Sangare,Houleye,1961-08-10,F,6,Tombouctou,Goundam,Tonka,Goundamasa,Sambou Tembely,Assitan Macalou,tmq,False,,
13908330290761G,Gassama,Ichaka,1939-08-16,M,3,Sikasso,Bougouni,Sido,Misseniba,Almahady Niang,Massikè Soumare,bm,False,,
23409653022779W,Ould,Sirantan,1934-09-22,F,6,Tombouctou,Gourma-Rharous,Banikane,Tessalimane,Mamoutou Bocoum,Massitan Dieng,dje,False,,
17506517179883X,Bagayoko,Sudi,1975-06-03,M,5,Mopti,Koro,Dioungani,Bankassou,Nouhoum Sarr,Niamoye Dembaga,dje,True,typo_substitution,first_name
24002618276173N,Uologuem,Housseynatou,1940-02-04,F,6,Tombouctou,Gourma-Rharous,Banikane,Tessalimane,Tiéfing Tembely,Massikè Doukoure,fr,True,phonetic_spelling,last_name
10006356065719L,Cheik,Klétigui,2000-06-04,M,3,Sikasso,Kolondieba,Fakola,Tengrebougou,Tiéman Ouologuem,Oulématou Hamidou,bm,True,phonetic_spelling,last_name
26211505048413J,Dakouo,Kankoun,1962-11-04,F,5,Mopti,Koro,Dioungani,Bankassou,Niamoye Bamba,Maïdjara Kebe,bm,False,,
16805930184871M,Mahamane,Maiga,1968-05-08,M,9,Bamako,District de Bamako,Commune VI,Niamakorola,Boukary Gueye,Goundoba Thiam,bm,True,field_inversion,"first_name,last_name"
29607737067580L,Kebe,Houleymatou,1996-07-07,F,7,Gao,Gao,Soni Ali Ber,Gargandobo,Gibril Dembele,Sira Fomba,tmq,False,,
25908108081452P,Saidou,Aminata,1959-08-10,F,1,Ségou,Bla,Yangasso,Wolofobougou,Samberou Sall,Hadidiatou Cheick,bm,True,geographic_mismatch,birth_region
10311824129085B,Walet,Demberel,2003-11-03,M,8,Kidal,Tessalit,Timetrine,Aguelhokan,Abdourahmane Niare,Bintou Mahamoud,tmq,False,,
14806542047721L,Diabate,Bakary,1948-06-16,M,5,Mopti,Djenne,Femaye,Sofarana,Bouréma Soumbounou,Diariatou Cheick,ff,False,,
20803101176837V,Tounkara,Teninke,2008-03-02,F,1,Kayes,Kayes,Hawa Dembaya,Diakanfara,Housseini Cheick,Mahawatou Sidibe,snk,True,phonetic_spelling,first_name
10811424154141K,Almoustapha,Zacharia,2008-11-14,M,4,Ségou,San,Kava,Damansela,Founeke Dansoko,Zeïnab Drame,fr,False,,
19410742085451R,Dembaga,Idrisda,1994-10-12,M,7,Gao,Gao,Gounzoureye,Wabarianke,Bouréma Gakou,Niani Hamadou,fr,True,typo_substitution,first_name
26307521072254C,Macalou,Safiatou,1963-07-10,F,5,Mopti,Djenne,Femaye,Sofarana,Kassim Dieng,Maïrama Guindo,fr,False,,
29410334261194P,Hamidou,Sokhn,1994-10-27,F,3,Sikasso,Bougouni,Faragouaran,Bougoudji,Abdramani Diakite,Bassiratou Gassama,bm,True,typo_omission,first_name
18511460163136Y,Boncana,Aly,1985-11-07,M,4,Ségou,Bla,Yangasso,Wolofobougou,Bocar Bicaba,Sirantan Tall,bm,False,,
15605138035015Q,Kamissoko,Mamoutou,1956-05-13,M,1,Kayes,Bafoulabe,Diakon,Sambela,Ousmane Sanogo,Sirantou Ouattara,bm,False,,
24304545206085E,Bakary,Kadia,1943-04-15,F,5,Koulikoro,Banamba,Toubacoro,Wolontomo,Seyni Haidara,Zeïnabou Samake,bm,True,geographic_mismatch,birth_region
24308538034318U,Ag,Aminatu,1943-08-23,F,5,Mopti,Bandiagara,Sangha,Sevarela,Zié Kone,Maïram Bagayoko,dje,True,phonetic_spelling,first_name
22002848090123E,Coulibaly,Oumoulkher,2020-02-20,F,8,Kidal,Abeibara,Boghassa,Boghassaren,Boubacar Keita,Dado Fane,tmq,False,,
28902224065768V,Doukoure,Aïdara,1989-02-11,F,2,Koulikoro,Nara,Dilly,Niamala,Nouhoum Sangare,Nassira Kane,bm,False,,
27809937040509F,Saidou,Mzïmé,1978-09-02,F,9,Bamako,District de Bamako,Commune IV,Bakaribougou,Fadima Kone,Korotou Diaby,fr,True,typo_substitution,first_name
18802155007251P,Cisse,Allaye,1988-02-06,M,1,Kayes,Kita,Sebekoro,Kountouba,Diadié Maouloud,Tata Yattara,fr,False,,
28605321128427Y,Karembe,Yacine,1986-05-27,F,3,Sikasso,Koutiala,Zangasso,Diomandougou,Lassana Sogodogo,Maïrame Tounkara,ff,False,,
19401215265048B,Wlé,Moussa,1994-01-04,M,2,Koulikoro,Kangaba,Minidian,Tonkanibougou,Gaossou Guindo,Mariétoulaye Ongoiba,bm,True,typo_omission,last_name
23710751156758X,Seck,Kaïrou,1937-10-27,F,7,Gao,Bourem,Bamba,Bouremaya,Hamadoun Gassama,Korké Balde,tmq,False,,
11905201210025R,Faye,Issa,2019-05-21,M,2,Koulikoro,Banamba,Toubacoro,Wolontomo,Bakoroba Keita,Nassira Traore,bm,False,,
21805214272244B,Lh,Founékou,2018-05-24,F,2,Koulikoro,Koulikoro,Tienfala,Kolibantan,Ibrahima Drame,Salimatou Kassogue,fr,True,typo_substitution,last_name
14311707259137E,Hamidou,Lassana,1943-11-05,M,7,Gao,Ansongo,Tessit,Ansongala,Issaka Diaby,Salimata Ag,tmq,False,,
13809417162949M,Hamidou,Hamadi,1938-09-13,M,4,Koulikoro,Dioila,Massigui,Fadiabougou,Karamoko Tapily,Néma Cheickna,bm,True,geographic_mismatch,birth_region
18503207085461Y,Samassekou,Fodéba,1985-03-31,M,2,Koulikoro,Banamba,Toubacoro,Wolontomo,Dembo Tounkara,Kadia Yaranangore,fr,False,,
27608355062093T,Kava,Khadija,1976-08-17,F,3,Sikasso,Yorosso,Mahou,Fakoroba,Sory Fofana,Soukeyna Tapily,fr,True,typo_substitution,last_name
24504353090032D,Kanté,Saalamata,1945-04-27,F,3,Sikasso,Yorosso,Mahou,Fakoroba,Mahmoud Souleymane,Oulématou Diabate,bm,True,phonetic_spelling,first_name
16404315067203Q,Wclé,Hamadou,1964-04-16,M,3,Sikasso,Bougouni,Sido,Misseniba,Hassane Samake,Niémaba Coumare,fr,True,typo_substitution,last_name
25607203237052W,Sako,Massikè,1956-07-10,F,2,Koulikoro,Kati,Sanankoroba,Sirakoroba,Pâté Mahamoud,Korotou Sangare,bm,False,,
15605414096282R,Kassogue,Sidiya,1956-05-03,M,4,Ségou,Baroueli,Tamani,Fienso-Were,Tiémoko Camara,Mariama Seck,bm,False,,
20306106144393R,Diawara,Hamssatou,2003-06-09,F,1,Kayes,Yelimane,Kremis,Tougandama,Fakourou Mahamadou,Oulématou Issoufou,fr,False,,
29107635249353U,Mqllé,Niékè,1991-07-04,F,6,Tombouctou,Tombouctou,Bourem-Inaly,Tindjambar,Néné Boncana,Yacine Sow,fr,True,typo_substitution,last_name
24907338120998H,Kaba,Adiaratou,1949-07-12,F,3,Sikasso,Bougouni,Sido,Misseniba,Klétigui Mbaye,Sadia Oumarou,ff,True,invalid_checksum,nina
28711460089181K,Sarr,Ténémba,1987-11-13,F,4,Ségou,Baroueli,Tamani,Fienso-Were,Lamine Yaranangore,Ténémba Sangare,bm,False,,
15506713253556C,Ongoiba,Yaya,1955-06-04,M,7,Gao,Bourem,Bamba,Bouremaya,Bilali Toure,Niaba Kone,fr,False,,
16805631001340V,Sall,Fousseini,1968-05-11,M,6,Tombouctou,Niafunke,Soumpi,Niafounaba,Mounkoro Yattara,Founékè Sanogo,fr,True,phonetic_spelling,first_name
19305446203601Q,Fomba,Madiou,1993-05-31,M,4,Ségou,Bla,Yangasso,Wolofobougou,Sory Ouologuem,Kaira Kaba,bm,False,,
26406821090725F,Salaha,Haabiba,1964-06-12,F,8,Kidal,Tessalit,Timetrine,Aguelhokan,Seyni Yaranangore,Naba Tall,tmq,True,phonetic_spelling,first_name
14009837201872K,Diaby,Souleymane,1940-09-16,M,8,Kidal,Kidal,Anefif,Adjelhocan,Bandiougou Karembe,Adijatou Ndiaye,fr,False,,
19010448040244N,Sanou,Lamjne,1990-10-05,M,4,Ségou,Macina,Kolongo,Tioribabougou,Kalifa Bagayoko,Oumoulkher Sagara,bm,True,typo_substitution,first_name
10505901025396B,Oul,Salifou,2005-05-07,M,9,Bamako,District de Bamako,Commune VI,Niamakorola,Bocar Niare,Niani Gassama,bm,True,typo_omission,last_name
14310229038819P,Camara,Solomane,1943-10-11,M,2,Sikasso,Yorosso,Mahou,Fakoroba,Sékou Karembe,Djènè Kanoute,fr,True,geographic_mismatch,birth_region
13705758048347C,Mariko,Bilal,1937-05-02,M,7,Gao,Gao,Soni Ali Ber,Gargandobo,Adama Wane,Safya Niare,tmq,False,,
11903107170211H,Bah,Dembo,2019-03-17,M,1,Kayes,Yelimane,Kremis,Tougandama,Hamza Abdramane,Asma Boureima,bm,False,,
20401307026403S,Sogodogo,Fatoukè,2004-01-09,F,3,Sikasso,Kadiolo,Loulouni,Sanfolola,Bilali Haidara,Bintou Bengaly,fr,False,,
23206841246205B,Diabate,Oumou,1932-06-16,F,8,Kidal,Abeibara,Boghassa,Boghassaren,Yoro Sako,Zeynabou Tembely,fr,False,,
14302451204483G,Sylla,Abdoulwahab,1943-02-22,M,4,Mopti,Douentza,Hombori,Yalakoura,Fasseri Dabo,Zeïnab Issoufou,bm,True,geographic_mismatch,birth_region
16208503135451N,Samassekou,Fasseri,1962-08-15,M,5,Mopti,Koro,Dioungani,Bankassou,Samba Doukoure,Soukeynatou Sanogo,ff,False,,
15301143177828P,Boureima,Tidiane,1953-01-31,M,1,Kayes,Diema,Lakamane,Mansakoro,Fodie Lo,Maïrama Sanogo,ff,False,,
28510644244587Q,Sarr,Wasakè,1985-10-05,F,6,Tombouctou,Gourma-Rharous,Banikane,Tessalimane,Solo Berthe,Sirantou Camara,tmq,True,phonetic_spelling,first_name
19607352099130P,Fofana,Bokar,1996-07-18,M,3,Kayes,Nioro du Sahel,Diabigue,Ndiaganfoula,Lassine Ag,Djénébou Fadiga,ff,True,geographic_mismatch,birth_region
19512536204566T,Tapily,Nuankoro,1995-12-18,M,5,Mopti,Mopti,Konna,Tongorongo,Mohamed Hamady,Kadiatou Konfe,dje,True,typo_substitution,first_name
25907657177899G,Turay,Soutoura,1959-07-17,F,6,Tombouctou,Gourma-Rharous,Banikane,Tessalimane,Ali Kebe,Massikè Yalcouye,fr,True,typo_omission,last_name
28501445122051H,Yalcouye,Saia,1985-01-11,F,4,Ségou,Macina,Kolongo,Tioribabougou,Hamadou Sissoko,Hadiata Dougnon,bm,True,typo_omission,first_name
13806448227793G,Ouologuem,Sinaly,1938-06-06,M,4,Ségou,Niono,Sirifila Boundy,Kalabougou-Niare,Yacoub Dicko,Hawaou Bagayoko,fr,False,,
25211132265889A,Maimouna,Walet,1952-11-09,F,1,Kayes,Kayes,Sadiola,Kondiarafara,Inahaman Kaba,Korotoumou Ongoiba,ff,True,field_inversion,"first_name,last_name"
18201213103858U,Klétigui,Kone,1982-01-10,M,2,Koulikoro,Kangaba,Minidian,Tonkanibougou,Souleymane Saidou,Fanta Bengaly,fr,True,field_inversion,"first_name,last_name"
23009860064698V,Sangare,Bassiratou,1930-09-29,F,8,Kidal,Kidal,Essouk,Tinzaoukar,Hamadou Sylla,Aïsseta Bocar,fr,False,,
28308736180353V,Djènè,Konare,1983-08-02,F,7,Gao,Ansongo,Tessit,Ansongala,Manga Dabo,Kani Sangare,dje,True,field_inversion,"first_name,last_name"
16607342116694X,Dia,Sinaly,1966-07-18,M,3,Kayes,Kayes,Sadiola,Kondiarafara,Abdourahmane Konfourou,Sirakè Sissoko,ff,True,geographic_mismatch,birth_region
19205752005230J,Cisseko,Cheik,1992-05-17,M,7,Gao,Menaka,Anderamboukane,Talataye-Kori,Soriba Macalou,Téninkè Ascofare,dje,False,,
16904520267845T,Mahamoud,Moustalha,1969-04-09,M,5,Mopti,Douentza,Hombori,Yalakoura,Salif Diarra,Maïmé Walet,bm,True,typo_substitution,first_name
28801317153193A,Gakou,Niélimq,1988-01-08,F,3,Sikasso,Kolondieba,Fakola,Tengrebougou,Birama Mbaye,Maimouna Kanté,ff,True,typo_substitution,first_name
20602359215415B,Boncanaa,Bintatou,2006-02-02,F,3,Sikasso,Yorosso,Mahou,Fakoroba,Yacouba Tabouré,Oumoulkher Sogodogo,fr,True,phonetic_spelling,last_name
22007620088861L,Yehia,Adama,2020-07-12,F,6,Tombouctou,Dire,Tienkour,Arawana-Kel,Solomane Diabate,Soudata Bathily,dje,False,,
19609858172671B,Bagayoko,Sambou,1996-09-07,M,8,Kidal,Tin-Essako,Intadeyni,Intadeyni,Sékoba Fall,Kadidia Dolo,tmq,False,,
25107417300302X,Boubou,Mahawa,1951-07-08,F,4,Ségou,Bla,Yangasso,Wolofobougou,Allaye Diakite,Roukaya Tabouré,fr,False,,
15604608196543J,Saye,Tidiane,1956-04-17,M,6,Tombouctou,Dire,Tienkour,Arawana-Kel,Aliou Gakou,Naminata Sall,dje,False,,
27010221093798H,Berthe,Niamtou,1970-10-31,F,2,Koulikoro,Banamba,Toubacoro,Wolontomo,Madani Yattara,Wassila Kone,fr,False,,
16001250087591Y,Kaba,Bilali,1960-01-29,M,2,Koulikoro,Kati,Bossofala,Banzanbougou,Birama Bagayoko,Saran Ag,bm,False,,
23805501020547D,Sall,Aïxara,1938-05-30,F,5,Mopti,Mopti,Konna,Tongorongo,Hamadou Coulibaly,Founékè Ibrahima,ff,True,typo_substitution,first_name
20904409053393K,Sacko,Sadiokè,2009-04-11,F,4,Ségou,Niono,Sirifila Boundy,Kalabougou-Niare,Soriba Niare,Korotoumou Cisse,bm,False,,
20403934269346C,Ag,Khadija,2004-03-29,F,9,Mopti,Bandiagara,Sangha,Sevarela,Bourama Dackouo,Founékou Yaranangore,fr,True,geographic_mismatch,birth_region
13809315068217L,Sissoko,Mustapha,1938-09-30,M,3,Sikasso,Koutiala,Zangasso,Diomandougou,Almahdy Sako,Goundo Bicaba,ff,False,,
17302557131790R,Oumaeou,Abdoulaye,1973-02-17,M,5,Mopti,Mopti,Konna,Tongorongo,Omar Dembele,Fadimatou Magassa,fr,True,typo_substitution,last_name
23803645079211D,Keita,Maïmounatou,1938-03-25,F,6,Tombouctou,Tombouctou,Bourem-Inaly,Tindjambar,Bocar Fomba,Fadimatou Konfe,dje,False,,
13704554054524P,Tounkara,Tahirou,1937-04-10,M,5,Mopti,Tenenkou,Diondiori,Diafarabe-Kola,Mady Magassa,Korotou Balde,ff,False,,
10912446210303U,Konare,Ojsmane,2009-12-15,M,4,Ségou,Baroueli,Tamani,Fienso-Were,Ichaka Fane,Niamoye Mariko,bm,True,typo_substitution,first_name
19505150262077X,Fomba,Nampé,1995-05-05,M,1,Kayes,Diema,Lakamane,Mansakoro,Abderahmane Faye,Maïdjara Tessougue,bm,False,,
19811256021873S,Tembely,Fadima,1998-11-20,M,2,Koulikoro,Kangaba,Minidian,Tonkanibougou,Djibrilla Napo,Goundoba Soumare,fr,False,,
10209155071680Y,Sako,Tenepa,2002-09-26,M,1,Kayes,Kayes,Hawa Dembaya,Diakanfara,Fassara Ould,Halima Doukoure,fr,True,typo_substitution,first_name
25111354198707U,Soumbounou,Hamssatou,1951-11-17,F,3,Sikasso,Kolondieba,Fakola,Tengrebougou,Abdourahmane Niare,Sokona Cheick,ff,False,,
13803227248822L,Diaby,Djibrilla,1938-03-11,M,2,Koulikoro,Koulikoro,Tienfala,Kolibantan,Sidi Sow,Adijatou Almoustapha,bm,False,,
19907659250116L,Touray,Sidi,1999-07-26,M,6,Tombouctou,Tombouctou,Bourem-Inaly,Tindjambar,Oumar Maiga,Djènè Napo,fr,False,,
14105856174532E,Koonfe,Housseyni,1941-05-09,M,8,Kidal,Abeibara,Boghassa,Boghassaren,Hamadi Diabate,Massira Dieng,tmq,True,phonetic_spelling,last_name
15509142081518G,Maiguizo,Cheickne,09/28/1955,M,1,Kayes,Kayes,Hawa Dembaya,Diakanfara,Kalifa Tangara,Hamsétou Sylla,bm,True,date_format_error,birth_date
13910615282659X,Acofare,Demba,1939-10-11,M,6,Tombouctou,Dire,Tienkour,Arawana-Kel,Zoumana Berthe,Sounkali Hamadou,ff,True,typo_omission,last_name
21106142010106K,Kanté,Niani,2011-06-08,F,1,Kayes,Kayes,Sadiola,Kondiarafara,Yacouba Yehia,Fatoukè Traore,fr,False,,
23909636106671A,Saidou,Houleymatou,1939-09-13,F,6,Tombouctou,Dire,Tienkour,Arawana-Kel,Diadié Diakite,Naba Saidou,dje,False,,
26206943187734U,Cheickna,Niélé,1962-06-18,F,9,Bamako,District de Bamako,Commune IV,Bakaribougou,Cheickna Ndiaye,Aminata Dackouo,bm,False,,
28505734192719Q,Magassa,Sita,1985-05-27,F,7,Gao,Gao,Soni Ali Ber,Gargandobo,Kalifa Gassama,Naminata Konfourou,fr,True,typo_substitution,first_name
24610346174111N,Dicko,Sira,1946-10-07,F,3,Sikasso,Sikasso,Kaboila,Kefanazana,Abdou Wague,Korké Cheickna,bm,False,,
10712601272754E,Dembele,Bandé,2007-12-25,M,6,Tombouctou,Goundam,Tonka,Goundamasa,Pâté Tabouré,Diénékè Sogoba,tmq,False,,
16312953066107T,Boncana,Abdoulkarim,1963-12-17,M,9,Bamako,District de Bamako,Commune VI,Niamakorola,Youssouf Ouologuem,Dadou Maouloud,bm,False,,
10903326176994W,Tessougue,Soumaïla,2009-03-29,M,3,Sikasso,Kolondieba,Fakola,Tengrebougou,Bourama Diawara,Niani Dakouo,bm,False,,
21105948284648E,Gueye,Djénébou,2011-05-13,F,9,Bamako,District de Bamako,Commune IV,Bakaribougou,Yorodian Tembely,Khadija Sanou,fr,False,,
13511635166728C,Soumare,Boureima,1935-11-10,M,6,Tombouctou,Dire,Tienkour,Arawana-Kel,Sékoba Salaha,Mahawatou Tabouré,ff,False,,
21409552007536M,Magasa,Oumou,2014-09-30,F,5,Mopti,Djenne,Femaye,Sofarana,Hama Fadiga,Bintou Kone,ff,True,phonetic_spelling,last_name
24108254032708N,Fatim,Tessougue,1941-08-10,F,2,Koulikoro,Banamba,Toubacoro,Wolontomo,Founeke Boureima,Assitan Yaranangore,bm,True,field_inversion,"first_name,last_name"
18707142288399P,Sarr,Almahady,07/04/1987,M,1,Kayes,Kayes,Sadiola,Kondiarafara,Hamza Goita,Habiba Dembele,ff,True,date_format_error,birth_date
21912704007762U,Cisseko,Djénébou,2019-12-02,F,7,Gao,Gao,Soni Ali Ber,Gargandobo,Seyba Hamadou,Naba Bamba,tmq,False,,
10911347100302F,Bocar,Yayi,2009-11-20,M,3,Sikasso,Bougouni,Sido,Misseniba,Gibril Tangara,Awa Tall,ff,False,,
20705128143570W,Kamissoko,Saran,2007-05-18,F,1,Kayes,Kita,Sebekoro,Kountouba,Mamarou Tabouré,Mahoua Diarra,bm,False,,
